complaint,department
No water supply in our area for 3 days,Water Supply
Water pressure is very low cannot fill buckets,Water Supply
Pipeline burst near our street water everywhere,Water Supply
Water is dirty and has bad smell,Water Supply
Water meter is not working properly,Water Supply
Water bill is too high this month,Water Supply
Need new water connection for my house,Water Supply
Emergency tanker water needed in our area,Water Supply
Power outage in our locality since morning,Electricity
Frequent power cuts every 2 hours,Electricity
Voltage fluctuation damaging appliances,Electricity
Transformer making loud noise and sparking,Electricity
Electric wire hanging low on street dangerous,Electricity
Need new electricity connection,Electricity
Electricity meter stopped working,Electricity
Electricity bill amount is wrong,Electricity
Garbage not collected for 10 days,Sanitation & Solid Waste
People dumping garbage illegally in open area,Sanitation & Solid Waste
Door to door garbage collection missed,Sanitation & Solid Waste
Dead dog on road needs removal,Sanitation & Solid Waste
Area needs cleaning very dirty,Sanitation & Solid Waste
Mosquito problem need fogging,Sanitation & Solid Waste
People burning waste in open,Sanitation & Solid Waste
Street sweeping not done regularly,Sanitation & Solid Waste
Drain overflowing with sewage water,Sewerage & Drainage
Sewer line blocked causing problems,Sewerage & Drainage
Manhole cover missing dangerous,Sewerage & Drainage
Water logging after rain,Sewerage & Drainage
Bad smell from drain,Sewerage & Drainage
Storm water drain blocked,Sewerage & Drainage
Public septic tank overflowing,Sewerage & Drainage
Big potholes on main road,Roads & Potholes
Road damaged after monsoon,Roads & Potholes
Road sinking near our area,Roads & Potholes
Speed breaker is damaged,Roads & Potholes
Road markings are faded,Roads & Potholes
Footpath is broken,Roads & Potholes
Construction debris left on road,Roads & Potholes
Road work incomplete for months,Roads & Potholes
Street lights not working in our area,Streetlights
Street light keeps blinking,Streetlights
Light pole is damaged and tilted,Streetlights
Street light is always on during day,Streetlights
Need new street light on dark road,Streetlights
Exposed electric wiring from street light,Streetlights
Traffic signal not working at junction,Traffic
Vehicles parked illegally blocking road,Traffic
Heavy traffic congestion daily,Traffic
Traffic sign board missing,Traffic
Vehicles speeding in residential area,Traffic
School zone needs safety measures,Traffic
Theft happened in our house,Police
Neighbor threatening and harassing us,Police
Public nuisance by group of people,Police
Suspicious activity in neighborhood,Police
Loud music and noise late at night,Police
Online fraud someone took my money,Cyber Crime
UPI payment fraud lost money,Cyber Crime
Harassment on social media,Cyber Crime
Received phishing link message,Cyber Crime
Fake job offer scam,Cyber Crime
My account has been hacked,Cyber Crime
Hospital service is very slow,Public Health
Medicines not available in hospital,Public Health
Ambulance came very late,Public Health
Hospital is very dirty,Public Health
Hospital staff misbehaved,Public Health
Test report delayed for many days,Public Health
Food poisoning from restaurant,Food Safety
Restaurant kitchen is very dirty,Food Safety
Shop selling expired food items,Food Safety
Adulteration in milk suspected,Food Safety
Street food vendor hygiene issue,Food Safety
Teacher absent frequently,Education
School building needs repair,Education
Scholarship payment delayed,Education
Exam marks are wrong,Education
Certificate not issued for months,Education
Student bullying complaint,Education
School bus not coming on time,Education
Land record has wrong information,Land & Revenue
Patta document processing delayed,Land & Revenue
Property mutation not done,Land & Revenue
Encroachment on government land,Land & Revenue
Certificate processing taking too long,Land & Revenue
Ration not received this month,Ration Card / PDS
Ration shop dealer overcharging,Ration Card / PDS
Ration card update pending,Ration Card / PDS
Biometric machine not working,Ration Card / PDS
Wrong entries in ration card,Ration Card / PDS
Driving license renewal delayed,RTO / Transport
Vehicle registration stuck,RTO / Transport
Driving test scheduling issue,RTO / Transport
Fitness certificate not issued,RTO / Transport
RTO agent asking for bribe,RTO / Transport
Mobile network signal very poor,Telecom / Network
Frequent call drops,Telecom / Network
Internet speed is very slow,Telecom / Network
Mobile bill amount is wrong,Telecom / Network
New SIM activation delayed,Telecom / Network
Air pollution from factory,Environment
River water polluted with chemicals,Environment
People burning garbage causing smoke,Environment
Loud noise from construction site,Environment
Trees being cut illegally,Environment
Factory dumping industrial waste,Environment
Street lights not working causing safety issues,Streetlights
Water supply irregular only 2 hours daily,Water Supply
Garbage collection vehicle not coming,Sanitation & Solid Waste
Road has big potholes causing accidents,Roads & Potholes
Power cut during important work hours,Electricity
Drain water overflowing on street,Sewerage & Drainage
Traffic jam every day at this junction,Traffic
Hospital doctor not available,Public Health
School infrastructure very poor,Education
Ration shop closed most of the time,Ration Card / PDS
Police station not responding to complaint,Police
